ticker,Date,TVol,TXN,TV,OP,HP,LP,CP,Dir,CHG,LBBP,LBBV,LBSP,LBSV,PER
076378,20210129,10000.0,1.0,"21,500",2.15,2.15,2.15,2.15,X,0.0,1.74,100.0,1.75,50.0,293.50
076379,20210129,3000.0,1.0,"9,180",3.06,3.06,3.06,3.06,+,0.16,2.57,100.0,2.58,50.0,92.00
076380,20210129,223000.0,13.0,"503,280",2.28,2.38,2.2,2.38,+,0.35,2.22,100.0,2.25,50.0,12.10
076381,20210129,107000.0,12.0,"269,390",2.58,2.58,2.27,2.27,-,0.15,2.26,100.0,2.27,50.0,826.00
076382,20210129,0.0,0.0,0,--,--,--,--, ,0.0,4.76,100.0,4.86,10.0,226.00
076383,20210129,1000.0,1.0,280,0.28,0.28,0.28,0.28,-,0.02,0.26,499.0,0.27,100.0,30.60
076384,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.44,10.0,0.45,10.0,87.00
076385,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.33,10.0,0.34,10.0,20.90
076386,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.64,10.0,0.65,10.0,188.00
076387,20210129,0.0,0.0,0,--,--,--,--, ,0.0,1.0,10.0,1.01,10.0,31.40
076388,20210129,0.0,0.0,0,--,--,--,--, ,0.0,2.22,10.0,2.23,10.0,14.75
076389,20210129,0.0,0.0,0,--,--,--,--, ,0.0,3.09,10.0,3.1,10.0,42.80
076390,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.68,10.0,0.69,10.0,127.50
076391,20210129,9000.0,3.0,"3,110",0.35,0.35,0.34,0.34,-,0.01,0.31,10.0,0.32,10.0,65.90
076392,20210129,10000.0,1.0,"13,000",1.3,1.3,1.3,1.3,X,0.0,1.3,20.0,2.65,4.0,395.00
076393,20210129,20000.0,1.0,"17,800",0.89,0.89,0.89,0.89,X,0.0,0.88,10.0,0.89,10.0,293.50
076394,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.32,10.0,0.33,10.0,68.80
076395,20210129,1029000.0,15.0,"733,600",0.75,0.75,0.68,0.68,-,0.07,0.69,499.0,0.7,30.0,114.00
076396,20210129,0.0,0.0,0,--,--,--,--, ,0.0,--,0.0,--,0.0,41.35
076397,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.46,499.0,0.47,100.0,86.80
076398,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.38,100.0,0.39,100.0,101.00
076399,20210129,0.0,0.0,0,--,--,--,--, ,0.0,--,0.0,--,0.0,31.20
076400,20210129,0.0,0.0,0,--,--,--,--, ,0.0,1.02,499.0,1.03,100.0,75.10
076401,20210129,143000.0,4.0,"184,710",1.28,1.31,1.28,1.29,-,0.13,1.11,110.0,1.12,100.0,31.25
076402,20210129,2148000.0,47.0,"5,452,670",2.88,2.88,1.3,2.39,-,0.05,1.5,31.0,2.39,2.0,395.00
076403,20210129,6000.0,1.0,"2,640",0.44,0.44,0.44,0.44,X,0.0,0.44,94.0,0.45,100.0,120.00
076404,20210129,0.0,0.0,0,--,--,--,--, ,0.0,4.08,10.0,4.18,10.0,0.00
076405,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.84,408.0,0.85,100.0,70.80
076406,20210129,0.0,0.0,0,--,--,--,--, ,0.0,2.31,499.0,2.37,10.0,159.50
076407,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.65,10.0,0.66,10.0,"2,940.00"
076408,20210129,19000.0,1.0,"12,730",0.67,0.67,0.67,0.67,-,0.02,0.6,499.0,0.61,68.0,42.60
076409,20210129,0.0,0.0,0,--,--,--,--, ,0.0,3.42,499.0,3.5,10.0,35.50
076410,20210129,5000.0,1.0,"19,200",3.84,3.84,3.84,3.84,+,0.11,3.32,499.0,3.41,10.0,78.40
076411,20210129,0.0,0.0,0,--,--,--,--, ,0.0,0.65,499.0,0.66,499.0,32.45
